,Avg_temp,Max_temp,Min_temp,Avg_relative_humidity(%),Total_rainfall_snowmelt(mm),Avg_visibility,Avg_wind_speed,Max_sustained_wind_speed,PM2.5
344,21.3,28.2,17,60,0,6.9,0.9,3.5,176.375
345,21.1,29,15.3,55,0,8,0.4,3.5,185.95833333333334
346,21.9,28.6,17.6,72,0,6.3,3,9.4,239.125
347,22.8,29.2,18.4,77,0,6.3,1.9,3.5,365.2916666666667
348,23.3,29.3,19.8,74,0,5.6,2.8,3.5,312.2083333333333
349,21.6,26.6,18.2,76,0,6.3,2.4,5.4,121.33333333333333
350,21.6,26.4,19.6,83,0,6.9,1.3,3.5,202.875
351,23.1,28.8,19.1,74,0,6.9,2.8,3.5,260.1666666666667
352,21.1,25.2,18.8,78,0,5.5,3.1,3.5,277.7083333333333
353,21.4,28,17.6,71,0,6.3,1.9,5.4,284.1666666666667
354,21.1,28.3,17.1,74,0,7.7,0.9,3.5,288.4166666666667
355,20,28.4,15.8,65,0,6.3,1.9,3.5,166.91666666666666
356,20.1,27.3,14.2,56,0,9.2,1.3,3.5,169.0
357,20.8,27.4,13.9,58,0,7.7,2,5.4,186.04166666666666
358,22.3,29.5,19.2,77,7.62,6.3,0.9,3.5,284.79583333333335
359,22.2,29.2,17.6,71,1.52,5.5,1.9,7.6,219.72083333333333
360,22.1,29.2,18.7,76,0,6,1.3,3.5,182.1875
361,21.9,28.6,17.4,60,0,6.9,0.4,3.5,154.03750000000002
362,22.1,28.6,17.6,71,0,6.3,0.6,3.5,223.20833333333334
363,21.6,27.6,18.5,72,0,6.3,1.9,3.5,200.64583333333337
364,19.4,27.1,13.7,60,0,8.5,0.9,3.5,285.22499999999997
365,19.4,27.1,13.7,67,0,6,0.2,1.9,236.82499999999996
366,20.1,27.1,14.7,63,0,6.3,2.8,7.6,276.90833333333336
367,21.3,28.2,15.4,61,0,8.5,3.3,5.4,108.0
